"first_rating","group_rating","second_rating","prob_rating"
1,4,0,0.3
3,6,6,0.55
3,5,3,0.5125
2,4,4,0.3875
0,0,0,0.0625
0,2,0,0.1375
3,3,3,0.4375
6,3,5,0.7
1,3,0,0.2625
3,1,1,0.3625
0,0,2,0.0625
0,0,0,0.0625
3,3,2,0.4375
5,5,4,0.6875
1,1,1,0.1875
5,3,4,0.6125
0,0,0,0.0625
7,7,6,0.9375
6,3,4,0.7
6,6,6,0.8125
1,0,1,0.15
2,5,3,0.425
4,2,4,0.4875
4,2,3,0.4875
6,7,6,0.85
0,0,0,0.0625
6,7,7,0.85
6,7,7,0.85
1,0,2,0.15
2,4,3,0.3875
5,7,5,0.7625
6,3,5,0.7
1,3,1,0.2625
6,4,5,0.7375
2,0,0,0.2375
7,4,6,0.825
6,7,5,0.85
0,0,0,0.0625
4,6,6,0.6375
4,4,4,0.5625
0,0,0,0.0625
2,0,2,0.2375
2,5,4,0.425
4,4,5,0.5625
3,5,4,0.5125
1,3,2,0.2625
5,5,7,0.6875
1,3,2,0.2625
4,2,2,0.4875
6,3,5,0.7
4,1,4,0.45
6,4,5,0.7375
0,0,0,0.0625
2,2,4,0.3125
3,3,2,0.4375
0,0,0,0.0625
4,6,2,0.6375
3,3,4,0.4375
3,5,5,0.5125
7,4,6,0.825
1,1,1,0.1875
4,7,4,0.675
2,2,2,0.3125
6,6,5,0.8125
4,4,4,0.5625
3,0,2,0.325
7,7,6,0.9375
3,6,6,0.55
1,3,2,0.2625
6,7,6,0.85
3,3,3,0.4375
2,2,2,0.3125
1,1,0,0.1875
7,7,7,0.9375
5,2,4,0.575
4,4,3,0.5625
5,5,3,0.6875
6,3,3,0.7
2,2,2,0.3125
2,0,4,0.2375
5,5,5,0.6875
1,1,1,0.1875
0,0,0,0.0625
1,0,0,0.15
4,4,3,0.5625
3,3,0,0.4375
3,3,2,0.4375
2,0,3,0.2375
3,6,5,0.55
3,0,1,0.325
3,1,2,0.3625
6,7,7,0.85
4,7,4,0.675
0,0,3,0.0625
6,6,5,0.8125
1,1,2,0.1875
1,3,0,0.2625
3,1,0,0.3625
3,6,2,0.55
4,2,5,0.4875
4,1,3,0.45
7,7,6,0.9375
6,6,5,0.8125
1,0,1,0.15
2,2,2,0.3125
2,0,1,0.2375
6,4,6,0.7375
7,7,7,0.9375
0,0,0,0.0625
5,3,4,0.6125
6,6,6,0.8125
3,5,2,0.5125
4,6,5,0.6375
0,0,1,0.0625
4,2,4,0.4875
6,6,3,0.8125
6,6,7,0.8125
6,3,7,0.7
3,6,4,0.55
6,6,5,0.8125
5,7,7,0.7625
3,6,2,0.55
2,5,3,0.425
2,5,3,0.425
7,7,6,0.9375
1,1,2,0.1875
7,7,7,0.9375
6,6,4,0.8125
2,4,4,0.3875
4,4,4,0.5625
6,6,6,0.8125
2,0,4,0.2375
1,3,4,0.2625
5,5,5,0.6875
3,3,4,0.4375
3,1,2,0.3625
7,4,7,0.825
4,6,3,0.6375
3,6,3,0.55
5,7,7,0.7625
6,4,5,0.7375
3,3,3,0.4375
7,5,7,0.8625
4,6,5,0.6375
6,6,4,0.8125
5,5,5,0.6875
2,0,2,0.2375
4,1,2,0.45
0,3,1,0.175
0,3,0,0.175
7,7,7,0.9375
4,4,4,0.5625
3,6,3,0.55
3,1,2,0.3625
6,3,3,0.7
4,7,4,0.675
2,2,2,0.3125
5,5,4,0.6875
