trial_id,first_ratings,group_ratings,second_rating,w_first,w_group
1,0,0,2,0.6,0.4
2,3,4,6,0.6,0.4
3,6,7,6,0.6,0.4
4,0,2,3,0.6,0.4
5,1,3,5,0.6,0.4
6,4,4,7,0.6,0.4
7,6,6,5,0.6,0.4
8,2,0,1,0.6,0.4
9,5,6,2,0.6,0.4
10,1,2,2,0.6,0.4
11,2,4,4,0.6,0.4
12,2,0,0,0.6,0.4
13,0,0,0,0.6,0.4
14,4,6,3,0.6,0.4
15,4,3,5,0.6,0.4
16,1,4,0,0.6,0.4
17,5,7,6,0.6,0.4
18,5,4,6,0.6,0.4
19,1,0,1,0.6,0.4
20,6,6,5,0.6,0.4
21,0,0,0,0.6,0.4
22,6,3,2,0.6,0.4
23,4,4,6,0.6,0.4
24,4,2,4,0.6,0.4
25,0,2,3,0.6,0.4
26,0,0,0,0.6,0.4
27,5,3,5,0.6,0.4
28,4,7,7,0.6,0.4
29,4,7,5,0.6,0.4
30,1,0,3,0.6,0.4
31,1,4,1,0.6,0.4
32,5,7,6,0.6,0.4
33,0,0,0,0.6,0.4
34,3,0,2,0.6,0.4
35,6,5,3,0.6,0.4
36,0,1,0,0.6,0.4
37,3,2,6,0.6,0.4
38,2,2,1,0.6,0.4
39,5,3,5,0.6,0.4
40,1,0,4,0.6,0.4
41,1,1,0,0.6,0.4
42,5,7,7,0.6,0.4
43,6,3,2,0.6,0.4
44,3,3,2,0.6,0.4
45,3,1,1,0.6,0.4
46,3,4,5,0.6,0.4
47,1,0,0,0.6,0.4
48,3,1,3,0.6,0.4
49,0,0,0,0.6,0.4
50,6,5,7,0.6,0.4
51,5,2,4,0.6,0.4
52,0,0,0,0.6,0.4
53,7,6,6,0.6,0.4
54,3,6,5,0.6,0.4
55,0,0,0,0.6,0.4
56,6,5,6,0.6,0.4
57,7,7,6,0.6,0.4
58,5,4,6,0.6,0.4
59,1,2,0,0.6,0.4
60,6,5,2,0.6,0.4
61,2,0,2,0.6,0.4
62,1,0,4,0.6,0.4
63,5,5,5,0.6,0.4
64,7,5,7,0.6,0.4
65,7,5,6,0.6,0.4
66,5,7,6,0.6,0.4
67,1,1,4,0.6,0.4
68,4,5,6,0.6,0.4
69,1,0,2,0.6,0.4
70,5,6,3,0.6,0.4
71,5,7,5,0.6,0.4
72,5,7,5,0.6,0.4
73,0,1,0,0.6,0.4
74,2,3,4,0.6,0.4
75,2,2,4,0.6,0.4
76,7,7,7,0.6,0.4
77,5,7,5,0.6,0.4
78,6,6,6,0.6,0.4
79,6,7,5,0.6,0.4
80,3,3,0,0.6,0.4
81,5,7,7,0.6,0.4
82,7,5,7,0.6,0.4
83,6,3,6,0.6,0.4
84,2,1,3,0.6,0.4
85,0,0,0,0.6,0.4
86,3,5,0,0.6,0.4
87,4,1,7,0.6,0.4
88,7,7,5,0.6,0.4
89,0,3,0,0.6,0.4
90,7,7,7,0.6,0.4
91,0,0,0,0.6,0.4
92,6,5,6,0.6,0.4
93,5,5,5,0.6,0.4
94,3,6,3,0.6,0.4
95,6,7,7,0.6,0.4
96,4,4,4,0.6,0.4
97,4,1,0,0.6,0.4
98,3,0,0,0.6,0.4
99,5,6,4,0.6,0.4
100,4,5,5,0.6,0.4
101,3,0,0,0.6,0.4
102,3,4,4,0.6,0.4
103,7,7,5,0.6,0.4
104,0,0,0,0.6,0.4
105,4,6,3,0.6,0.4
106,4,2,2,0.6,0.4
107,6,3,5,0.6,0.4
108,5,6,4,0.6,0.4
109,0,1,0,0.6,0.4
110,0,2,0,0.6,0.4
111,6,7,7,0.6,0.4
112,6,4,7,0.6,0.4
113,2,4,2,0.6,0.4
114,5,7,3,0.6,0.4
115,1,2,0,0.6,0.4
116,1,0,0,0.6,0.4
117,7,7,6,0.6,0.4
118,2,4,2,0.6,0.4
119,7,7,7,0.6,0.4
120,5,3,3,0.6,0.4
121,1,2,3,0.6,0.4
122,7,7,7,0.6,0.4
123,6,7,4,0.6,0.4
124,6,6,6,0.6,0.4
125,3,3,5,0.6,0.4
126,2,0,0,0.6,0.4
127,4,2,5,0.6,0.4
128,1,1,0,0.6,0.4
129,1,0,1,0.6,0.4
130,0,0,1,0.6,0.4
131,2,1,1,0.6,0.4
132,2,0,3,0.6,0.4
133,1,4,2,0.6,0.4
134,6,3,5,0.6,0.4
135,1,3,2,0.6,0.4
136,4,6,3,0.6,0.4
137,7,7,7,0.6,0.4
138,1,1,1,0.6,0.4
139,7,6,6,0.6,0.4
140,4,5,7,0.6,0.4
141,3,2,3,0.6,0.4
142,6,7,6,0.6,0.4
143,6,3,5,0.6,0.4
144,7,4,7,0.6,0.4
145,4,7,6,0.6,0.4
146,3,0,4,0.6,0.4
147,5,7,6,0.6,0.4
148,7,7,7,0.6,0.4
149,0,1,1,0.6,0.4
150,2,2,0,0.6,0.4
151,1,4,3,0.6,0.4
152,2,5,2,0.6,0.4
153,2,2,3,0.6,0.4
