trial_id,first_ratings,group_ratings,second_rating,p
1,0,0,0,0.7
2,3,4,5,0.7
3,6,7,2,0.7
4,0,2,1,0.7
5,1,3,5,0.7
6,4,4,4,0.7
7,6,6,4,0.7
8,2,0,1,0.7
9,5,6,6,0.7
10,1,2,0,0.7
11,2,4,5,0.7
12,2,0,5,0.7
13,0,0,0,0.7
14,4,6,1,0.7
15,4,3,2,0.7
16,1,4,3,0.7
17,5,7,7,0.7
18,5,4,6,0.7
19,1,0,0,0.7
20,6,6,6,0.7
21,0,0,0,0.7
22,6,3,5,0.7
23,4,4,2,0.7
24,4,2,3,0.7
25,0,2,1,0.7
26,0,0,0,0.7
27,5,3,4,0.7
28,4,7,5,0.7
29,4,7,7,0.7
30,1,0,0,0.7
31,1,4,3,0.7
32,5,7,7,0.7
33,0,0,0,0.7
34,3,0,3,0.7
35,6,5,6,0.7
36,0,1,1,0.7
37,3,2,2,0.7
38,2,2,3,0.7
39,5,3,3,0.7
40,1,0,0,0.7
41,1,1,2,0.7
42,5,7,6,0.7
43,6,3,4,0.7
44,3,3,0,0.7
45,3,1,4,0.7
46,3,4,3,0.7
47,1,0,3,0.7
48,3,1,3,0.7
49,0,0,1,0.7
50,6,5,7,0.7
51,5,2,4,0.7
52,0,0,0,0.7
53,7,6,7,0.7
54,3,6,6,0.7
55,0,0,0,0.7
56,6,5,7,0.7
57,7,7,6,0.7
58,5,4,7,0.7
59,1,2,4,0.7
60,6,5,3,0.7
61,2,0,2,0.7
62,1,0,0,0.7
63,5,5,6,0.7
64,7,5,6,0.7
65,7,5,7,0.7
66,5,7,4,0.7
67,1,1,3,0.7
68,4,5,2,0.7
69,1,0,0,0.7
70,5,6,6,0.7
71,5,7,7,0.7
72,5,7,6,0.7
73,0,1,4,0.7
74,2,3,1,0.7
75,2,2,0,0.7
76,7,7,7,0.7
77,5,7,5,0.7
78,6,6,4,0.7
79,6,7,7,0.7
80,3,3,5,0.7
81,5,7,4,0.7
82,7,5,4,0.7
83,6,3,3,0.7
84,2,1,1,0.7
85,0,0,0,0.7
86,3,5,3,0.7
87,4,1,4,0.7
88,7,7,7,0.7
89,0,3,1,0.7
90,7,7,7,0.7
91,0,0,1,0.7
92,6,5,5,0.7
93,5,5,7,0.7
94,3,6,5,0.7
95,6,7,5,0.7
96,4,4,5,0.7
97,4,1,2,0.7
98,3,0,0,0.7
99,5,6,4,0.7
100,4,5,5,0.7
101,3,0,3,0.7
102,3,4,6,0.7
103,7,7,7,0.7
104,0,0,1,0.7
105,4,6,6,0.7
106,4,2,4,0.7
107,6,3,6,0.7
108,5,6,7,0.7
109,0,1,2,0.7
110,0,2,0,0.7
111,6,7,4,0.7
112,6,4,6,0.7
113,2,4,6,0.7
114,5,7,6,0.7
115,1,2,2,0.7
116,1,0,0,0.7
117,7,7,6,0.7
118,2,4,1,0.7
119,7,7,7,0.7
120,5,3,1,0.7
121,1,2,0,0.7
122,7,7,6,0.7
123,6,7,7,0.7
124,6,6,6,0.7
125,3,3,2,0.7
126,2,0,2,0.7
127,4,2,5,0.7
128,1,1,2,0.7
129,1,0,1,0.7
130,0,0,0,0.7
131,2,1,4,0.7
132,2,0,6,0.7
133,1,4,2,0.7
134,6,3,4,0.7
135,1,3,4,0.7
136,4,6,6,0.7
137,7,7,7,0.7
138,1,1,0,0.7
139,7,6,6,0.7
140,4,5,5,0.7
141,3,2,4,0.7
142,6,7,3,0.7
143,6,3,5,0.7
144,7,4,7,0.7
145,4,7,5,0.7
146,3,0,2,0.7
147,5,7,3,0.7
148,7,7,7,0.7
149,0,1,0,0.7
150,2,2,3,0.7
151,1,4,4,0.7
152,2,5,2,0.7
153,2,2,2,0.7
